id_usuario,nome,ambiente
9ee32afb-f365-46e7-86f6-6c88346ef384,Erick's stuff,Cozinha
8ddfc1b1-413b-46a7-b3c5-c434adb004d5,limpeza geral,Banheiro
762b50ac-8b96-4f51-87be-a086d962a184,Raquel's stuff,Cozinha
6c165009-9da1-4f8e-aa02-25f353e3cb00,top secret,Cozinha
dff8ab84-80b6-46b8-b382-18b859cf5741,Ana Clara's stuff,Quintal
bed3dfe9-b836-4cf2-ad9b-a42d5b4352cb,caixa de tralha,Garagem
d5834ecf-903a-4151-9b21-6512caaca376,top secret,Banheiro
c2761549-5929-4b87-a497-4f6661589a8f,Quas eius dolorum dolore,Quarto
995be451-9905-4c10-ba38-54f11e562409,não sei o nome disso,Quintal
86c683d7-6749-4bb1-bd5a-4f88692b24de,caixa de tralha,Cozinha
478d39ae-f929-49e3-a9ce-2d349fbda1e7,Libero saepe earum,Banheiro
5677664a-0aec-4bde-8726-702062cd35d7,Lucas's stuff,Garagem
ed700be2-4614-44c6-8df5-8414fd46b9c5,não mexer,Banheiro
95aa1ccd-e55e-4182-bfa0-7dc9d3b55211,limpeza geral,Quarto
b57a9a5f-d6e0-4da9-b515-5f6cfa6d6d11,misturas mortais,Cozinha
cb5b4001-2500-4867-8186-5b395aaa85bc,não sei o nome disso,Área de serviço
cff07519-aa2a-4352-8a2b-27859c8b9650,aquele canto,Sala
bcbabe6f-5a92-42f8-8fc7-681a85c4a8bf,top secret,Despensa
adf455a8-f17b-4988-9f1f-dadeb17302d8,Vitor Hugo's stuff,Sala
aaaf7d48-8c1b-4820-9196-eecec8cfea2d,Armário deleniti,Banheiro
7b53a090-2546-4061-ae76-83402bc28e37,Modi ipsam provident,Sala
d70eb6f6-05e4-4e46-890d-fa0592f87dba,limpeza geral,Quarto
ba147639-7877-41ee-b856-8dff9a605451,negócio ali,Banheiro
998c1e41-c9ed-4c75-824e-cb1dbbb351d9,aquele canto,Sala
7e64775d-2d6b-48d2-939f-2818daaaf6aa,não mexer,Banheiro
4392a0dc-44c3-45b1-b4ed-ff119c3eda43,limpeza geral,Garagem
77b1e4f2-e1fd-4419-923f-3614f22a05fb,bagunça do fundo,Quarto
cb5b4001-2500-4867-8186-5b395aaa85bc,,Área de serviço
d0dc5b7a-c800-459b-8cbc-4e21161cec75,,Quarto
dab48da2-84ac-4546-9f54-4cc5cfd08d92,limpeza geral,Lavanderia
fd75c543-a9c5-452d-8bed-7d926451bd14,,Sala
c61bfbdd-7717-42aa-a0b8-30c40ec9f6fe,kit sobrevivência,Área de serviço
690c9aeb-1121-4d91-b58f-68a5b91cdc6d,Maria Clara's stuff,Quarto
693fd9f4-9e21-486e-b1b7-aadb80fdbeb4,limpeza geral,Cozinha
b57a9a5f-d6e0-4da9-b515-5f6cfa6d6d11,Prateleira perferendis,Cozinha
94221cbb-ed2e-4f07-8c81-17147ea1e716,Felipe's stuff,Área de serviço
8183dada-a510-4ddb-a818-e2076d6e413e,Earum mollitia modi,Quarto
