id_substancia_a,id_classe_a,id_substancia_b,id_classe_b,severidade,descricao_risco,fonte,ativo
12,,,1,media,Risco de explosão em ambientes confinados.,,false
,8,8,,leve,Liberação de vapores irritantes às vias respiratórias.,,false
,9,,4,alta,Risco de explosão em ambientes confinados.,NBR 14725,true
9,,,10,media,Risco de explosão em ambientes confinados.,,true
15,,8,,alta,Risco de explosão em ambientes confinados.,NBR 14725,true
,8,,8,extrema,Liberação de vapores irritantes às vias respiratórias.,,false
,9,,3,baixa,Reação pode causar queimaduras químicas por contato.,,false
,10,,,leve,Reação exotérmica com liberação de calor intenso.,NBR 14725,false
,4,4,,alta,Reação pode causar queimaduras químicas por contato.,NBR 14725,false
,9,,4,alta,Reação pode causar queimaduras químicas por contato.,,true
,6,,1,critica,Reação exotérmica com liberação de calor intenso.,NBR 14725,false
,10,,8,alta,Formação de gás tóxico (ex: cloro) ao entrar em contato.,,true
13,8,,,baixa,Reação pode causar queimaduras químicas por contato.,NBR 14725,false
,3,,10,alta,Reação pode causar queimaduras químicas por contato.,,false
8,,8,,media,Risco de explosão em ambientes confinados.,,true
,2,11,,alta,Liberação de vapores irritantes às vias respiratórias.,NBR 14725,true
,7,4,,critica,Liberação de vapores irritantes às vias respiratórias.,NBR 14725,true
,10,,2,critica,Reação exotérmica com liberação de calor intenso.,,false
14,,,7,baixa,Formação de gás tóxico (ex: cloro) ao entrar em contato.,,
3,,,8,critica,Liberação de vapores irritantes às vias respiratórias.,NBR 14725,false
,5,,7,alta,,NBR 14725,false
,1,9,,,Corrosão acelerada de superfícies metálicas.,,false
4,7,,7,critica,Liberação de vapores irritantes às vias respiratórias.,NBR 14725,false
,6,,3,media,Reação exotérmica com liberação de calor intenso.,,false
,3,11,,critica,Reação pode causar queimaduras químicas por contato.,,true
14,,6,,critica,Corrosão acelerada de superfícies metálicas.,NBR 14725,false
,6,1,,alta,Liberação de vapores irritantes às vias respiratórias.,,false
15,,,4,baixa,Corrosão acelerada de superfícies metálicas.,,true
9,1,9,,leve,Risco de explosão em ambientes confinados.,NBR 14725,false
,1,,10,baixa,Risco de explosão em ambientes confinados.,,false
2,,,5,alta,Risco de explosão em ambientes confinados.,NBR 14725,true
,8,,,media,Reação pode causar queimaduras químicas por contato.,NBR 14725,true
3,,,3,critica,Formação de gás tóxico (ex: cloro) ao entrar em contato.,,true
,6,5,,baixa,Liberação de vapores irritantes às vias respiratórias.,NBR 14725,true
,8,9,,moderada,Liberação de vapores irritantes às vias respiratórias.,NBR 14725,true
,6,,7,alta,Risco de explosão em ambientes confinados.,,false
