id_empresa,nome,cep,estado,bairro,rua,numero,complemento,tipo,ativo
2,Vieira S.A.,37654241,SC,da Serra,Núcleo de Alves,4507,,compra,true
7,Borges,37100959,RO,Paulista,Campo de Duarte,8936,,compra,true
3,Machado Duarte S/A,00044-011,AC,do Amparo,Rua Silveira,1536,,compra,true
39,Leão - EI,52724279,AC,Verde,Pátio Antonella Vieira,9196,,compra,true
35,da Luz,89057451,PA,do Sul,Estação Souza,3612,,descarte,true
1,Pacheco Sá Ltda.,66707158,SP,do Galho,Parque Moreira,2616,,descarte,true
10,Farias,81590961,DF,Alegre,Colônia João Gabriel da Conceição,5515,,compra,true
7,Azevedo,47320889,MS,das Flores,Feira de Pereira,5636,,descarte,true
,Ponto de coleta Moraes de Pinto,05467188,SC,do Campo,Praça Alves,7528,,descarte,true
25,Garcia Ltda.,19497301,AP,do Norte,Loteamento Lavínia Fogaça,9045,,descarte,true
,Ponto de coleta Moraes Verde,35261236,RN,do Norte,Recanto Novaes,5926,,descarte,true
5,Pacheco,97195-972,AL,da Prata,Distrito de Cavalcanti,3734,,descarte,true
15,,74017680,AM,Grande,Via Dom da Luz,6228,,descarte,true
24,Souza Moura S/A,72771939,CE,do Amparo,Loteamento de da Rocha,6066,,descarte,true
18,Macedo Garcia - EI,36960340,RR,das Pedras,Lago Nascimento,1170,,compra,true
16,Lima Brito - ME,11132-242,CE,de Goiás,Distrito Novais,7574,,descarte,true
36,Andrade,74758-336,ES,do Galho,Sítio Pereira,5314,,compra,true
3,Macedo,15764916,SE,da Prata,Loteamento Pastor,5169,,descarte,true
14,Pastor - EI,98036-943,RJ,Verde,Rodovia de Guerra,5156,,compra,true
26,Sousa Sá - ME,89641-555,RS,das Flores,Residencial Lima,7518,,compra,true
16,Pastor - ME,19212-742,SC,Alegre,Favela de Rios,9198,,descarte,true
28,Cardoso,81388-571,RJ,da Serra,Quadra de Freitas,6544,,descarte,true
9,Pastor,27132-378,PE,da Prata,Lago de Pimenta,8086,,compra,true
,Ponto de coleta Abreu,89728-429,AM,do Campo,Via Pires,2505,,descarte,true
28,Monteiro Fogaça Ltda.,08865209,RN,do Amparo,Morro de Moreira,1041,,descarte,true
30,da Conceição,50378-536,PE,da Praia,Parque da Mota,4120,,compra,true
8,Moura Nunes S/A,83219780,RO,das Flores,Colônia Eloah Sales,8798,,descarte,true
,Ponto de coleta Monteiro,91094480,MT,da Mata,Praia Dias,1828,,descarte,true
11,Mendes - ME,75757201,PB,Verde,Setor Silva,54,,descarte,true
12,,57150-960,PE,Paulista,Chácara Levi Fogaça,1744,,descarte,true
,Ponto de coleta da Cunha de da Cruz,41974478,PE,do Galho,Quadra Novais,9978,,descarte,true
24,Pacheco,34404-116,SP,Verde,Viela de Camargo,2647,,compra,true
32,Rezende,06909-815,AC,de Minas,Lagoa Thales Santos,1833,,descarte,true
1000032,Costa,81553-452,TO,dos Dourados,Praça Ravi Lucca Alves,5039,,compra,true
37,da Cruz Monteiro S/A,97685-346,AP,do Oeste,Trecho de da Cruz,1404,,descarte,true
,Ponto de coleta Fonseca do Sul,50770353,SP,do Galho,Ladeira Pedro Sá,8728,,descarte,true
,Ponto de coleta Oliveira das Flores,86157973,BA,dos Dourados,Morro Dante Peixoto,7788,,descarte,true
11,Cardoso S.A.,95608-677,GO,Verde,Lagoa Silveira,8646,,,true
14,Freitas Carvalho S/A,15330-392,PI,do Galho,Feira Costa,3296,,descarte,true
24,Moreira Vieira - ME,19584983,PB,das Pedras,Loteamento Theodoro Gonçalves,8480,,descarte,true
15,Marques Vasconcelos Ltda.,02929-330,AP,do Sul,Vila Théo das Neves,5540,,compra,true
15,Andrade,14462643,RJ,da Serra,Rodovia de da Costa,3609,,compra,true
4,Borges,80679-338,ES,do Campo,Setor Azevedo,1105,,compra,true
1000042,Caldeira Siqueira e Filhos,87494729,AP,de Minas,Via Erick Silveira,8424,,compra,true
