nome,id_marca,descricao,tipo_produto,cod_barras,foto_url
Limpa Vidros Cítrico,,,aromatizante,4734819371056,https://picsum.photos/seed/49161/400/400.jpg
Amaciante Lavanda,33,,limpeza_geral,7989451967694,
,39,Soluta omnis accusamus error aperiam in.,outro,9877341916281,https://picsum.photos/seed/72919/400/400.jpg
Detergente Lavanda,74,Occaecati suscipit facere praesentium velit exercitationem iure tempore excepturi.,desincrustante,4275597085266,https://picsum.photos/seed/74775/400/400.jpg
Limpa Vidros Lavanda,28,Ab eius asperiores aperiam mollitia eos.,aromatizante,1490652527021,https://picsum.photos/seed/4899/400/400.jpg
Detergente Frescor,74,Vel itaque corporis accusantium debitis repellat quae quod reprehenderit ea possimus.,desengraxante,9828865647793,https://picsum.photos/seed/78945/400/400.jpg
Limpador Cítrico,marca-x,Minus cumque cupiditate possimus illum cumque autem eum omnis suscipit deleniti eveniet dolorum.,desincrustante,5844108951391,https://picsum.photos/seed/6622/400/400.jpg
,51,,limpeza_geral,5549085552691,https://picsum.photos/seed/10820/400/400.jpg
Alvejante Ultra,7,Tempora nobis omnis voluptatem asperiores nemo optio blanditiis optio perspiciatis iste.,aromatizante,2065074420060,https://picsum.photos/seed/85492/400/400.jpg
Água Sanitária Spray,72,Possimus hic placeat eveniet asperiores ipsum quasi maiores quis at ducimus sit cumque modi.,desengraxante,3276042309891,https://picsum.photos/seed/55515/400/400.jpg
Removedor Concentrado,25,,desincrustante,1273424758690,https://picsum.photos/seed/5883/400/400.jpg
Limpador Frescor,marca-x,Aspernatur id amet doloribus ipsam iure at provident temporibus sequi eaque voluptatum accusamus.,limpeza_geral,,nao_e_uma_url
Alvejante Concentrado,marca-x,Vero laudantium fugiat aut asperiores ut.,desincrustante,,https://picsum.photos/seed/26713/400/400.jpg
Removedor Gel,34,Eligendi porro vitae nobis ab laudantium.,desengraxante,7263909842666,https://picsum.photos/seed/37227/400/400.jpg
Detergente Lavanda,90,Omnis doloremque qui commodi debitis quibusdam animi officia sed.,desengraxante,3862295168950,nao_e_uma_url
Limpador Cítrico,14,Tempore ea non quam enim ex numquam.,aromatizante,7165342615374,nao_e_uma_url
Amaciante Profissional,24,,desinfetante,4393076150073,https://picsum.photos/seed/2409/400/400.jpg
Alvejante Spray,46,,,,https://picsum.photos/seed/3863/400/400.jpg
,marca-x,Vel quia vero ab ab enim.,desengraxante,,
Sabão Líquido Spray,81,Nemo temporibus veniam delectus quidem eum doloremque unde.,desincrustante,9360086241683,https://picsum.photos/seed/18164/400/400.jpg
Multiuso Tradicional,88,Temporibus nisi delectus nesciunt quibusdam voluptas quia ab fuga.,premium,7844928947923,https://picsum.photos/seed/74036/400/400.jpg
Água Sanitária Ultra,941614,Laboriosam cumque ad doloremque ipsum numquam eveniet aperiam quas laborum.,desinfetante,7236502372465,nao_e_uma_url
Limpador Tradicional,53,Adipisci minima fuga necessitatibus in voluptate officiis rem repellat tenetur.,desinfetante,2770994078306,https://picsum.photos/seed/74324/400/400.jpg
Limpador Concentrado,77,Tempore voluptates velit non nisi cum.,desengraxante,0962524612292,https://picsum.photos/seed/24115/400/400.jpg
Multiuso Spray,964414,Eaque placeat ab hic exercitationem aperiam expedita saepe molestiae illum.,limpeza_geral,0271782722668,https://picsum.photos/seed/26586/400/400.jpg
Amaciante Max,9,Ea voluptatem tempore laboriosam porro soluta molestias.,desengraxante,4193181921601,https://picsum.photos/seed/49857/400/400.jpg
Removedor Max,51,Voluptate harum provident ex nesciunt quas voluptatem consequatur.,aromatizante,8019777534290,
Sabão Líquido Concentrado,32,Accusamus alias id at illo quae at.,aromatizante,7309549818804,
Sabão Líquido Tradicional,37,Quam cupiditate quibusdam temporibus repellat laudantium eligendi.,alvejante,8444676942257,https://picsum.photos/seed/65623/400/400.jpg
Água Sanitária Gel,75,Sequi molestias reprehenderit doloribus perspiciatis ipsa labore ratione culpa fugiat.,limpeza_geral,8788687838551,https://picsum.photos/seed/59597/400/400.jpg
Multiuso Ultra,42,Hic animi esse mollitia quam ex nulla ad aspernatur cum.,aromatizante,9400237536616,https://picsum.photos/seed/67066/400/400.jpg
Sabão Líquido Concentrado,21,,premium,2079261687921,https://picsum.photos/seed/40379/400/400.jpg
Multiuso Ultra,58,,,,https://picsum.photos/seed/754/400/400.jpg
Removedor Lavanda,64,Dolore molestiae adipisci hic voluptatibus a tenetur laudantium qui.,alvejante,1379481331668,https://picsum.photos/seed/73080/400/400.jpg
Multiuso Concentrado,27,Doloribus facere officia eveniet asperiores et provident explicabo quae dolor molestiae repudiandae occaecati.,outro,9360086241683,https://picsum.photos/seed/23364/400/400.jpg
Removedor Max,37,,desengraxante,7286062275881,https://picsum.photos/seed/42313/400/400.jpg
Sabão Líquido Profissional,49,Ratione at aut placeat fugit aliquam dolorum.,limpeza_geral,0570949072395,https://picsum.photos/seed/91204/400/400.jpg
Limpador Profissional,8,,aromatizante,5899175116464,https://picsum.photos/seed/41483/400/400.jpg
,74,Odio culpa consequatur deleniti ea culpa ratione officia laborum et ex.,alvejante,6957420834613,
Desengraxante Concentrado,930503,Dolores nam velit necessitatibus suscipit explicabo tempora laudantium magnam aut aspernatur.,outro,3603686167103,
Limpador Spray,43,Repellendus labore quas perferendis nisi harum eius accusantium.,desincrustante,,https://picsum.photos/seed/804/400/400.jpg
Removedor Max,43,,desinfetante,0459780147373,
Multiuso Lavanda,83,,desincrustante,5345184584409,nao_e_uma_url
Limpador Frescor,67,Iste perferendis repellendus quisquam assumenda provident architecto porro.,alvejante,5529428427503,nao_e_uma_url
Detergente Frescor,20,,outro,7748344552603,https://picsum.photos/seed/98506/400/400.jpg
Alvejante Cítrico,41,Ratione quaerat rem odio aperiam harum ex.,concentrado_xl,1261949869991,https://picsum.photos/seed/14711/400/400.jpg
Desinfetante Lavanda,5,Assumenda qui inventore doloribus id eius.,alvejante,2449629619534,
Desinfetante Profissional,42,Numquam quis odit natus accusantium tempore recusandae corporis.,aromatizante,0271782722668,https://picsum.photos/seed/5772/400/400.jpg
Limpa Vidros Lavanda,77,,outro,1328537580994,https://picsum.photos/seed/27505/400/400.jpg
Água Sanitária Frescor,25,,desincrustante,7500020586001,https://picsum.photos/seed/67379/400/400.jpg
Limpa Vidros Tradicional,70,Mollitia voluptatibus vel harum reprehenderit ipsa in consequatur qui odio.,desincrustante,9423671707459,
Amaciante Concentrado,7,Nesciunt expedita dolorum cumque quos commodi necessitatibus optio corrupti.,desengraxante,1689300706448,nao_e_uma_url
Removedor Frescor,89,Inventore illo quasi consequatur deleniti quia pariatur expedita alias minima.,aromatizante,6936718948386,
Amaciante Ultra,73,Iure aut distinctio perspiciatis ea consequuntur corporis voluptate odio reiciendis enim eaque.,aromatizante,1973477170721,nao_e_uma_url
Limpa Vidros Cítrico,79,Iusto cupiditate quis nostrum deleniti consectetur delectus consectetur quam.,concentrado_xl,0717315501480,https://picsum.photos/seed/62304/400/400.jpg
Multiuso Tradicional,62,,desinfetante,8972750951654,https://picsum.photos/seed/72896/400/400.jpg
Sabão Líquido Max,39,Inventore natus eius facilis quos dignissimos in possimus veritatis voluptates debitis assumenda.,alvejante,5735264944757,https://picsum.photos/seed/90972/400/400.jpg
Limpa Vidros Profissional,56,Praesentium numquam consequuntur temporibus incidunt sed non aspernatur neque sequi.,aromatizante,1328537580994,https://picsum.photos/seed/60675/400/400.jpg
Multiuso Tradicional,13,,limpeza_geral,7454941611888,https://picsum.photos/seed/84541/400/400.jpg
Multiuso Max,12,,limpeza_geral,4348461504672,https://picsum.photos/seed/80685/400/400.jpg
Limpa Vidros Tradicional,26,Fuga ad asperiores quaerat voluptatibus veniam ducimus.,concentrado_xl,9896005506699,
Removedor Profissional,,Repellat iusto non laboriosam consequatur magnam reprehenderit mollitia vel est illo earum ducimus.,desincrustante,5899175116464,https://picsum.photos/seed/47087/400/400.jpg
Desengraxante Cítrico,37,,desincrustante,2765494377813,https://picsum.photos/seed/22730/400/400.jpg
Limpa Vidros Cítrico,25,Commodi quas consequatur ducimus delectus dolorem inventore.,,9966741605410,https://picsum.photos/seed/94548/400/400.jpg
Multiuso Ultra,986235,Earum consequatur iure quia dolorum deserunt.,outro,8517384796334,https://picsum.photos/seed/23567/400/400.jpg
Amaciante Cítrico,55,Quidem corrupti voluptate id optio voluptatem ipsa molestias fugiat dolor dolorum.,alvejante,2079261687921,https://picsum.photos/seed/53850/400/400.jpg
