id_substancia,id_classe_quimica
1,5
3,2
15,9
7,1
4,4
1,9
11,9
8,10
14,1
3,7
3,4
6,913396
2,6
3,7
1,8
15,7
5,10
947400,10
2,1
13,5
14,
2,7
11,6
6,4
12,2
3,9
3,8
15,9
6,1
1,6
2,4
974341,6
8,7
984259,8
3,4
9,5
7,10
4,3
2,1
920033,3
8,7
7,7
8,9
9,1
2,9
13,6
7,3
12,5
13,
15,2
939117,9
3,6
9,9
978504,6
2,6
940306,4
15,10
2,995932
2,9
3,8
3,934741
10,7
15,970686
12,4
7,6
9,8
4,2
10,9
4,1
11,1
15,1
4,4
5,8
3,10
4,8
1,8
11,7
7,8
907100,2
12,6
11,9
4,9
7,3
4,2
14,9
11,9
2,6
14,930982
8,8
7,1
1,7
13,8
12,9
8,3
4,1
9,1
1,1
9,9
9,2
14,1
11,4
15,10
10,1
7,10
6,5
12,6
7,3
5,8
13,2
10,10
2,
9,5
6,2
948434,5
14,9
10,9
14,9
11,2
3,934664
2,9
5,10
6,4
14,5
5,1
7,5
6,3
5,3
9,7
2,2
12,919536
14,6
3,7
5,6
905229,6
4,2
9,7
12,
15,4
923206,7
12,6
10,9
12,6
4,5
12,2
1,8
14,8
14,4
11,4
5,2
5,946025
7,9
1,2
934237,3
5,1
7,6
6,7
9,2
10,4
12,7
15,9
12,4
2,6
11,2
5,9
7,6
5,9
7,7
15,3
5,7
1,5
7,10
6,8
11,4
13,3
5,9
10,6
13,4
4,4
1,4
10,
11,6
15,10
12,7
4,3
1,2
4,3
5,9
9,4
915906,8
8,9
10,
13,8
12,9
15,9
3,8
13,4
13,8
9,8
5,8
5,4
