cas_numero,nome_canonico,nome_classe
7681-52-9,Hipoclorito de sódio,hipocloritos
7681-52-9,Hipoclorito de sódio,oxidantes
7664-41-7,Amônia,bases
7664-41-7,Amônia,amonia_aminas
7647-01-0,Ácido clorídrico,acidos
64-19-7,Ácido acético,acidos
1310-73-2,Hidróxido de sódio,bases
7722-84-1,Peróxido de hidrogênio,oxidantes
64-17-5,Etanol,solventes_organicos
67-63-0,Álcool isopropílico,solventes_organicos
151-21-3,Lauril sulfato de sódio,tensoativos_anionicos
63449-41-2,Cloreto de benzalcônio,quaternarios_amonio
7778-54-3,Hipoclorito de cálcio,hipocloritos
7778-54-3,Hipoclorito de cálcio,oxidantes
7664-38-2,Ácido fosfórico,acidos
77-92-9,Ácido cítrico,acidos
25155-30-0,Dodecilbenzenossulfonato de sódio,tensoativos_anionicos
,Fragrância,fragrancias_aditivos
